epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,1029.92,1.36132,0.8461,0.95994,0.87239,0.66808,0.75515,0.43719,1.48673,0.95801,1.01144,0.00076482,0.00076482,0.00076482
43,1053.86,1.39556,0.95016,0.99917,0.84849,0.66625,0.78035,0.43586,1.49355,0.92798,1.01952,0.000742815,0.000742815,0.000742815
44,1078.11,1.36621,0.86676,0.97936,0.78618,0.71186,0.77927,0.43301,1.59296,0.90511,1.04822,0.000720811,0.000720811,0.000720811
45,1102.48,1.35329,0.89002,0.95845,0.87737,0.69557,0.7725,0.43274,1.51922,0.91617,1.02346,0.000698806,0.000698806,0.000698806
46,1128.45,1.38922,0.88365,0.98608,0.82257,0.70976,0.77326,0.42639,1.55061,0.94603,1.02111,0.000676802,0.000676802,0.000676802
47,1152.65,1.31281,0.85988,0.97033,0.85832,0.70426,0.77742,0.41926,1.58419,0.96447,1.03414,0.000654798,0.000654798,0.000654798
48,1176.88,1.30419,0.81916,0.97598,0.79425,0.70673,0.73381,0.41724,1.49478,0.94151,1.00535,0.000632793,0.000632793,0.000632793
49,1200.75,1.32846,0.81718,0.95542,0.81445,0.65884,0.72298,0.41864,1.47659,0.9733,1.00156,0.000610789,0.000610789,0.000610789
50,1224.67,1.32439,0.87316,0.94507,0.94071,0.65298,0.76213,0.44089,1.46812,0.92754,1.00996,0.000588784,0.000588784,0.000588784
51,1248.16,1.35492,0.80784,0.96294,0.90545,0.6735,0.76568,0.4337,1.52698,0.91813,1.03177,0.00056678,0.00056678,0.00056678
52,1271.87,1.32033,0.83759,0.98135,0.9066,0.68499,0.77369,0.44745,1.47784,0.95095,1.01476,0.000544776,0.000544776,0.000544776
53,1295.66,1.28388,0.79611,0.93507,0.87295,0.6765,0.76595,0.44482,1.4712,0.99755,1.00389,0.000522771,0.000522771,0.000522771
54,1320.1,1.28488,0.78499,0.94883,0.82731,0.72247,0.76615,0.45031,1.45184,0.94596,0.997,0.000500767,0.000500767,0.000500767
55,1344.04,1.26748,0.7915,0.95459,0.78661,0.7418,0.77266,0.45138,1.4695,0.8821,1.00556,0.000478762,0.000478762,0.000478762
56,1368.27,1.28086,0.81063,0.94045,0.79794,0.73134,0.77508,0.45002,1.48456,0.88448,1.00443,0.000456758,0.000456758,0.000456758
57,1392.09,1.30669,0.77203,0.94539,0.8451,0.70528,0.77977,0.44679,1.47143,0.87629,0.99537,0.000434754,0.000434754,0.000434754
58,1415.75,1.22381,0.75383,0.93673,0.82147,0.72665,0.77923,0.46285,1.44756,0.89186,0.98856,0.000412749,0.000412749,0.000412749
59,1439.31,1.26047,0.76755,0.93937,0.863,0.71064,0.7827,0.46032,1.44498,0.91927,0.98908,0.000390745,0.000390745,0.000390745
60,1462.96,1.26657,0.75145,0.95814,0.86749,0.71639,0.80003,0.47187,1.47029,0.8827,0.99269,0.00036874,0.00036874,0.00036874
61,1486.65,1.234,0.73863,0.93666,0.83758,0.7288,0.79882,0.46941,1.45119,0.88738,0.98468,0.000346736,0.000346736,0.000346736
62,1510.42,1.2352,0.72911,0.93174,0.83683,0.73412,0.79681,0.46897,1.44063,0.88232,0.97897,0.000324732,0.000324732,0.000324732
63,1534.37,1.27264,0.78628,0.94173,0.95934,0.66234,0.78842,0.46292,1.45966,0.88001,0.98798,0.000302727,0.000302727,0.000302727
64,1558.57,1.21392,0.75861,0.93641,0.90426,0.68258,0.78063,0.45443,1.48839,0.89917,0.99872,0.000280723,0.000280723,0.000280723
65,1582.34,1.27186,0.78966,0.945,0.90002,0.66958,0.77648,0.46079,1.47469,0.88648,0.99705,0.000258718,0.000258718,0.000258718
66,1608.98,1.17816,0.73482,0.93542,0.90253,0.66906,0.78755,0.45888,1.48055,0.86216,0.99508,0.000236714,0.000236714,0.000236714
67,1631.97,1.17193,0.729,0.93271,0.91527,0.67595,0.79999,0.473,1.4631,0.84666,0.99,0.00021471,0.00021471,0.00021471
68,1655.48,1.12936,0.68392,0.93245,0.8973,0.68682,0.80147,0.48342,1.43546,0.82909,0.97955,0.000192705,0.000192705,0.000192705
69,1679.07,1.15274,0.7188,0.925,0.9136,0.68301,0.80395,0.48682,1.41065,0.817,0.97116,0.000170701,0.000170701,0.000170701
70,1702.44,1.12221,0.65748,0.92597,0.86185,0.71947,0.80282,0.49127,1.40734,0.79566,0.96998,0.000148696,0.000148696,0.000148696
71,1725.89,1.1348,0.65881,0.93084,0.86482,0.72366,0.80245,0.48772,1.40858,0.7959,0.96797,0.000126692,0.000126692,0.000126692
72,1749.44,1.15516,0.73365,0.91552,0.85027,0.73155,0.79607,0.48467,1.42497,0.81032,0.96909,0.000104688,0.000104688,0.000104688
73,1772.88,1.1211,0.66276,0.93492,0.87009,0.72577,0.79942,0.47685,1.43475,0.83748,0.97158,8.26832e-05,8.26832e-05,8.26832e-05
74,1796.39,1.13572,0.67988,0.92886,0.85483,0.71339,0.79674,0.47347,1.43382,0.85702,0.97148,6.06788e-05,6.06788e-05,6.06788e-05
75,1819.49,1.1413,0.67821,0.92661,0.85646,0.71282,0.79003,0.47502,1.42977,0.86088,0.96861,3.86744e-05,3.86744e-05,3.86744e-05
