epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,62.2493,1.28331,1.26276,1.10423,0.69687,0.59106,0.64328,0.38403,1.39353,1.35003,1.10113,0.000470304,0.000470304,0.000470304
2,117.591,1.26321,1.06136,1.09392,0.6464,0.58584,0.61092,0.35127,1.46181,1.49352,1.15533,0.00085292,0.00085292,0.00085292
3,172.453,1.23779,1.08008,1.10645,0.63019,0.56018,0.61302,0.34014,1.46377,1.54361,1.18445,0.00114122,0.00114122,0.00114122
4,229.105,1.24467,1.08532,1.09502,0.70065,0.57652,0.6413,0.34722,1.48429,1.43406,1.18261,0.00100459,0.00100459,0.00100459
5,283.715,1.24754,1.10049,1.11965,0.71993,0.56311,0.64792,0.35483,1.44218,1.30559,1.12917,0.000863116,0.000863116,0.000863116
6,337.912,1.19745,0.93833,1.09127,0.60518,0.65211,0.64046,0.37094,1.37314,1.3968,1.09239,0.000721645,0.000721645,0.000721645
7,392.601,1.19757,0.94344,1.07904,0.66254,0.615,0.67119,0.3763,1.39417,1.33081,1.11585,0.000580174,0.000580174,0.000580174
8,447.12,1.1345,0.89476,1.0517,0.69331,0.64364,0.67392,0.38563,1.37241,1.29197,1.09706,0.000438703,0.000438703,0.000438703
9,502.177,1.11251,0.84666,1.03875,0.70835,0.63306,0.67385,0.3907,1.36693,1.27069,1.09241,0.000297232,0.000297232,0.000297232
10,556.448,1.10453,0.81239,1.03414,0.73978,0.616,0.68013,0.40204,1.35724,1.25395,1.09189,0.000155761,0.000155761,0.000155761
