epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,7824.17,1.16745,0.73281,1.02879,0.7459,0.6211,0.67302,0.38696,1.3535,1.11829,1.13735,0.000655625,0.000655625,0.000655625
43,8009.99,1.15378,0.71451,1.02742,0.79838,0.64754,0.71626,0.42831,1.31472,0.98913,1.13708,0.000636762,0.000636762,0.000636762
44,8196.19,1.18326,0.73592,1.0261,0.75802,0.6443,0.70852,0.41621,1.34705,0.978,1.14818,0.0006179,0.0006179,0.0006179
45,8382.1,1.13442,0.69685,1.02359,0.75564,0.70049,0.72836,0.43656,1.29147,0.99146,1.12221,0.000599037,0.000599037,0.000599037
46,8567.89,1.12492,0.68587,1.02867,0.82456,0.65126,0.71801,0.42293,1.32936,0.9978,1.15349,0.000580174,0.000580174,0.000580174
47,8753.91,1.14774,0.70838,1.02414,0.75063,0.6684,0.71355,0.4326,1.31878,1.05373,1.13801,0.000561311,0.000561311,0.000561311
48,8939.8,1.10918,0.66041,1.00135,0.76515,0.68339,0.72725,0.43565,1.36358,0.96527,1.13381,0.000542448,0.000542448,0.000542448
49,9126.09,1.14114,0.69059,1.01402,0.68817,0.68679,0.70937,0.42161,1.30517,0.95819,1.12011,0.000523586,0.000523586,0.000523586
50,9311.64,1.09785,0.65939,1.00584,0.71245,0.6685,0.69325,0.41498,1.37444,1.0045,1.14733,0.000504723,0.000504723,0.000504723
51,9497.59,1.10025,0.65914,1.00831,0.77246,0.63302,0.70347,0.43089,1.35604,1.03267,1.13106,0.00048586,0.00048586,0.00048586
52,9683.59,1.10218,0.66679,1.00667,0.76817,0.67648,0.69725,0.42507,1.3385,0.99969,1.11731,0.000466997,0.000466997,0.000466997
53,9869.67,1.08383,0.64605,0.9979,0.75313,0.6326,0.70635,0.40396,1.44117,1.02812,1.17202,0.000448134,0.000448134,0.000448134
54,10055.3,1.05682,0.62269,0.99385,0.76742,0.69149,0.71107,0.42732,1.32115,1.04132,1.12182,0.000429272,0.000429272,0.000429272
55,10241.1,1.04726,0.61927,0.9819,0.69568,0.69323,0.69836,0.41486,1.41636,1.04465,1.15412,0.000410409,0.000410409,0.000410409
56,10427,1.06445,0.62653,0.98864,0.76655,0.67628,0.7045,0.41995,1.40287,1.01207,1.15487,0.000391546,0.000391546,0.000391546
57,10612.9,1.04419,0.61235,0.98176,0.73493,0.68237,0.70246,0.4202,1.36442,0.99421,1.13125,0.000372683,0.000372683,0.000372683
58,10799,1.04234,0.60671,0.98067,0.76367,0.68769,0.71209,0.427,1.35879,0.9952,1.12079,0.00035382,0.00035382,0.00035382
59,10984.8,1.04647,0.61495,0.98405,0.79258,0.67407,0.73529,0.44168,1.39765,1.01755,1.1547,0.000334958,0.000334958,0.000334958
60,11170.7,1.05737,0.62521,0.98391,0.74136,0.68256,0.71677,0.43044,1.37844,1.01638,1.14377,0.000316095,0.000316095,0.000316095
61,11356.6,1.03444,0.60624,0.98448,0.68732,0.69487,0.70072,0.43041,1.38389,1.05739,1.14656,0.000297232,0.000297232,0.000297232
62,11542.1,1.04383,0.61786,0.99063,0.75033,0.67705,0.71379,0.44346,1.34021,1.00975,1.13417,0.000278369,0.000278369,0.000278369
63,11728.3,1.05376,0.60951,0.98117,0.7829,0.65624,0.72364,0.44042,1.35704,1.03351,1.13266,0.000259506,0.000259506,0.000259506
64,11914.3,1.02482,0.5913,0.97257,0.75601,0.66928,0.71486,0.43626,1.40853,1.0251,1.16779,0.000240644,0.000240644,0.000240644
