epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,705.335,1.22846,0.86422,0.92316,0.63432,0.53087,0.56675,0.27688,1.51391,1.43802,0.94641,0.000655625,0.000655625,0.000655625
43,721.454,1.20497,0.83648,0.91911,0.65051,0.48824,0.54691,0.29238,1.49379,1.40885,0.94278,0.000636762,0.000636762,0.000636762
44,738.227,1.1821,0.82245,0.90317,0.58877,0.56043,0.56338,0.30082,1.4941,1.37764,0.94123,0.0006179,0.0006179,0.0006179
45,755.801,1.22064,0.86732,0.91622,0.61048,0.51549,0.52957,0.26643,1.50346,1.49295,0.9331,0.000599037,0.000599037,0.000599037
46,771.982,1.14103,0.81973,0.90257,0.64846,0.53379,0.56292,0.30284,1.48516,1.44498,0.93726,0.000580174,0.000580174,0.000580174
47,788.467,1.15133,0.79738,0.89553,0.66851,0.51195,0.55578,0.29426,1.47452,1.56257,0.93335,0.000561311,0.000561311,0.000561311
48,806.159,1.164,0.79781,0.90312,0.65675,0.50703,0.54354,0.27651,1.53948,1.43453,0.94189,0.000542448,0.000542448,0.000542448
49,822.894,1.0804,0.74955,0.89452,0.60312,0.52728,0.566,0.29788,1.50158,1.47857,0.9398,0.000523586,0.000523586,0.000523586
50,839.161,1.14712,0.77727,0.90072,0.62795,0.5135,0.5536,0.28343,1.51485,1.46284,0.94155,0.000504723,0.000504723,0.000504723
51,856.527,1.128,0.768,0.89454,0.63271,0.53141,0.57684,0.29841,1.48035,1.36521,0.93819,0.00048586,0.00048586,0.00048586
52,873.003,1.14091,0.76758,0.90127,0.61244,0.52805,0.55211,0.29012,1.44835,1.48439,0.92571,0.000466997,0.000466997,0.000466997
53,889.273,1.0893,0.75275,0.89742,0.63065,0.54154,0.56575,0.29763,1.46873,1.37124,0.93606,0.000448134,0.000448134,0.000448134
54,905.566,1.06174,0.71255,0.88802,0.5919,0.54836,0.57208,0.30603,1.46522,1.35729,0.9309,0.000429272,0.000429272,0.000429272
55,922.454,1.10113,0.74891,0.89237,0.63701,0.54503,0.59098,0.31738,1.44085,1.26846,0.92965,0.000410409,0.000410409,0.000410409
56,938.51,1.06188,0.70976,0.87984,0.57437,0.52192,0.54704,0.29024,1.46776,1.48443,0.93253,0.000391546,0.000391546,0.000391546
57,954.67,1.07797,0.73157,0.88501,0.61081,0.53111,0.5627,0.29801,1.48973,1.45272,0.93773,0.000372683,0.000372683,0.000372683
58,971.517,1.02366,0.69772,0.86735,0.63825,0.55063,0.58854,0.30862,1.48489,1.33276,0.93494,0.00035382,0.00035382,0.00035382
59,988.08,1.05791,0.69188,0.87786,0.59754,0.54921,0.58297,0.3046,1.47682,1.42839,0.93163,0.000334958,0.000334958,0.000334958
60,1004.51,1.03374,0.69939,0.8967,0.61987,0.56663,0.57521,0.30965,1.46901,1.36915,0.93364,0.000316095,0.000316095,0.000316095
61,1021.27,1.03135,0.69883,0.87845,0.62965,0.54761,0.58818,0.30935,1.47033,1.43303,0.93444,0.000297232,0.000297232,0.000297232
62,1039.21,1.06716,0.71211,0.8681,0.65846,0.50686,0.54781,0.296,1.4259,1.63829,0.92471,0.000278369,0.000278369,0.000278369
63,1055.63,1.04588,0.70049,0.87859,0.65826,0.51966,0.55126,0.29826,1.45701,1.47442,0.9307,0.000259506,0.000259506,0.000259506
64,1073.55,1.00944,0.67632,0.87047,0.64149,0.54206,0.58953,0.31757,1.46716,1.35075,0.93376,0.000240644,0.000240644,0.000240644
65,1089.85,1.02466,0.69164,0.87784,0.68573,0.5401,0.5903,0.31101,1.47284,1.40544,0.93952,0.000221781,0.000221781,0.000221781
66,1107.67,1.0224,0.66137,0.88283,0.66902,0.54126,0.58259,0.30728,1.48628,1.35839,0.94182,0.000202918,0.000202918,0.000202918
67,1124.43,1.03925,0.6826,0.88203,0.63811,0.55636,0.58928,0.31487,1.46609,1.3204,0.93849,0.000184055,0.000184055,0.000184055
68,1140.9,0.99707,0.65765,0.8865,0.59702,0.51408,0.55481,0.29536,1.44575,1.53611,0.92749,0.000165192,0.000165192,0.000165192
69,1156.97,1.01435,0.69495,0.88836,0.62741,0.51693,0.5463,0.29536,1.41915,1.58677,0.92255,0.00014633,0.00014633,0.00014633
70,1172.92,0.96683,0.6439,0.88396,0.67883,0.49902,0.54931,0.29333,1.43108,1.5242,0.92318,0.000127467,0.000127467,0.000127467
71,1188.98,0.96715,0.61963,0.86724,0.57118,0.58044,0.56126,0.30048,1.44639,1.44979,0.92577,0.000108604,0.000108604,0.000108604
72,1205.26,0.95844,0.63382,0.86999,0.57408,0.56361,0.56491,0.30296,1.43383,1.41871,0.92286,8.97412e-05,8.97412e-05,8.97412e-05
73,1220.85,0.95576,0.62366,0.86249,0.60445,0.55542,0.576,0.31234,1.42081,1.43055,0.92102,7.08784e-05,7.08784e-05,7.08784e-05
74,1236.83,0.98626,0.65491,0.87494,0.59895,0.56189,0.57906,0.31142,1.43504,1.45333,0.92302,5.20156e-05,5.20156e-05,5.20156e-05
75,1253.25,0.96728,0.64231,0.86117,0.59188,0.56224,0.58064,0.31061,1.43698,1.4631,0.92436,3.31528e-05,3.31528e-05,3.31528e-05
